index,Год,Неделя,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.,Население 15 и ст.,A(H1N1)pdm09_15 и ст._rel,A(H3N2)_15 и ст._rel,B_15 и ст._rel,A(H1N1)pdm09_0-14,A(H1N1)pdm09_0-14_rel,Население 0-14,A(H3N2)_0-14,A(H3N2)_0-14_rel,B_0-14,B_0-14_rel
0,2010.0,1.0,,,,4042163.0,,,,,,539691.0,,,,
1,2010.0,2.0,4084.0,0.0,0.0,4042163.0,1.01035015163911,0.0,0.0,4037.0,25.35280154039488,539691.0,0.0,0.0,0.0,0.0
2,2010.0,3.0,2189.0,0.0,0.0,4042163.0,0.5415417438633722,0.0,0.0,2464.0,15.08392116378955,539691.0,0.0,0.0,0.0,0.0
3,2010.0,4.0,5412.0,0.0,0.0,4042163.0,1.338887125531553,0.0,0.0,6455.0,38.53933493548667,539691.0,0.0,0.0,0.0,0.0
4,2010.0,5.0,,,,4042163.0,,,,,,539691.0,,,,
5,2010.0,6.0,2758.0,0.0,0.0,4042163.0,0.6823079623459024,0.0,0.0,3648.0,21.97183796512856,539691.0,0.0,0.0,0.0,0.0
6,2010.0,7.0,2403.0,0.0,0.0,4042163.0,0.5944836959815821,0.0,0.0,2942.0,17.965075506531274,539691.0,0.0,0.0,0.0,0.0
7,2010.0,8.0,4404.0,0.0,0.0,4042163.0,1.0895156875168073,0.0,0.0,5528.0,34.39964699561699,539691.0,0.0,0.0,0.0,0.0
8,2010.0,9.0,,,,4042163.0,,,,,,539691.0,,,,
9,2010.0,10.0,9602.0,0.0,0.0,4042163.0,2.37546086093015,0.0,0.0,12742.0,78.23561505377974,539691.0,0.0,0.0,0.0,0.0
10,2010.0,11.0,2742.0,0.0,0.0,4042163.0,0.6783496855520176,0.0,0.0,3752.0,23.027199509353977,539691.0,0.0,0.0,0.0,0.0
11,2010.0,12.0,933.0,0.0,0.0,4042163.0,0.2308170155434108,0.0,0.0,1271.0,8.03714062928181,539691.0,0.0,0.0,0.0,0.0
12,2010.0,13.0,1906.0,0.0,0.0,4042163.0,0.4715297230715337,0.0,0.0,2490.0,15.917900347846537,539691.0,0.0,0.0,0.0,0.0
13,2010.0,14.0,1052.0,0.0,1052.0,4042163.0,0.2602566991979294,0.0,0.2602566991979294,1478.0,9.311211357735596,539691.0,0.0,0.0,1478.0,9.311211357735596
14,2010.0,15.0,0.0,0.0,265.0,4042163.0,0.0,0.0,0.0655589593987179,0.0,0.0,539691.0,0.0,0.0,407.0,2.4867869502321334
15,2010.0,16.0,0.0,0.0,270.0,4042163.0,0.0,0.0,0.0667959208968069,0.0,0.0,539691.0,0.0,0.0,395.0,2.405637084247639
16,2010.0,17.0,,,,4042163.0,,,,,,539691.0,,,,
17,2010.0,18.0,,,,4042163.0,,,,,,539691.0,,,,
18,2010.0,19.0,,,,4042163.0,,,,,,539691.0,,,,
