,Все
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.26480722498942616
11,0.5375263925603009
12,0.8065150438849964
13,1.0811307163766193
14,1.3648016257851352
15,1.65268490759068
16,1.9444217489033293
17,2.242455490630063
18,2.5465851563883395
19,2.855905174241962
20,3.1708949210767003
21,3.4920422572916623
22,3.819198512939972
23,4.1523603342213775
24,4.491787987482194
25,4.8376188165557235
26,5.189900175556283
27,5.548759890635343
28,5.914352867499881
29,6.286794727953981
30,6.666201435175563
31,7.0527109409080655
32,7.446460130418103
33,7.847580157721715
34,8.256208187198101
35,8.672486963110078
36,9.09655958411548
37,9.528570964286752
38,9.968669991239604
39,10.417008451178782
40,10.873740365416644
41,11.33902272325493
42,11.813015711535892
43,12.295882417131976
44,12.787788881905652
45,13.288904322256197
46,13.79940115104534
47,14.319454970271108
48,14.849244663136167
49,15.388952478986766
50,15.938764076039194
51,16.4988685788781
52,17.06945865402545
53,17.65073057664969
54,18.242884293022602
55,18.84612349011294
56,19.46065566766124
57,20.08669220858734
58,20.724448450851302
59,21.37414376201258
60,22.036001614812168
61,22.710249663626488
62,23.397119822641805
63,24.096848345671408
64,24.809675907287883
65,25.53584768542653
66,26.275613445622447
67,27.029227626820674
68,27.79694942874705
69,28.579042900920236
70,29.375777033342935
71,30.18742584887834
72,31.014268497345398
73,31.85658935137601
74,32.71467810406349
75,33.58882986843123
76,34.479345278758124
77,35.38653059379663
78,36.31069780191724
79,37.252164728214915
80,38.21125514361464
81,39.188298876013405
82,40.183631923496
83,41.197596569663425
84,42.23054150111319
85,43.28282192711157
86,44.35479970149847
87,45.446843446866396
88,46.55932868105589
89,47.692637946010386
90,48.847160939034396
91,50.023294646499586
92,51.22144348004432
93,52.44201941531287
94,53.68544213328156
95,54.95213916421978
96,56.24254603433483
97,57.55710641515041
98,58.896272275669446
99,60.26050403737299
100,61.65027073210769
101,63.06605016291554
102,64.50832906786032
103,65.97760328690647
104,67.47437793190684
105,68.99916755975694
106,70.55249634877445
107,72.13489827836378
108,73.74691731202624
109,75.38910758377826
110,77.06203358804024
111,78.76627037306073
112,80.5024037379411
113,82.27103043332725
114,84.07275836583668
115,85.90820680628927
116,87.77800660181283
117,89.68280039189455
118,91.62324282845145
119,93.60000079999423
120,95.61375365995984
121,97.66519345929002
122,99.7550251833341
123,101.88396699315584
124,104.05275047132564
125,106.26212087228092
126,108.51283737733876
127,110.80567335444672
128,113.14141662275917
129,115.5208697221279
130,117.9448501875978
131,120.41419082899947
132,122.92974001573292
133,125.4923619668376
134,128.10293704644624
135,130.76236206472134
136,133.4715505843753
137,136.23143323287667
138,139.042958020447
139,141.90709066395473
140,144.8248149168143
141,147.79713290500072
142,150.82506546929184
143,153.90965251385234
144,157.05195336127593
145,160.25304711420407
146,163.51403302364136
147,166.83603086409062
148,170.22018131563215
149,173.66764635307445
150,177.1796096423054
151,180.75727694397574
152,184.40187652464869
153,188.11465957555208
154,191.8969006390716
155,195.74989804312654
156,199.67497434357168
157,203.67347677477147
158,207.74677770849556
159,211.8962751212868
160,216.12339307045642
161,220.4295821788625
162,224.8163201286321
163,229.28511216398897
164,233.83749160335222
165,238.47502036087434
166,243.19928947758953
167,248.01191966234634
168,252.9145618427021
169,257.9088977259591
170,262.99664037052594
171,268.17953476779104
172,273.4593584346974
173,278.8379220172123
174,284.3170699048883
175,289.89868085671515
176,295.58466863846616
177,301.3769826717456
178,307.277608694948
179,313.28856943634224
180,319.41192529949956
181,325.64977506128537
182,332.0042565826413
183,338.4775475323852
184,345.071866124263
185,351.78947186748894
186,358.6326663310143
187,365.60379392177083
188,372.7052426771367
189,379.93944507187905
190,387.3088788398299
191,394.8160678105577
192,402.4635827613006
193,410.2540422844318
194,418.19011367073244
195,426.274513808751
196,434.5100101005345
197,442.89942139401944
198,451.44561893237716
199,460.151527320611
200,469.02012550971
201,478.05444779866633
202,487.2575848546707
203,496.63268475180377
204,506.182954028547
205,515.9116587644423
206,525.8221256762345
207,535.9177432338348
208,546.2019627964527
209,556.6782997692435
210,567.3503347808299
211,578.2217148820579
212,589.296154766354
213,600.5774380120574
214,612.0694183471052
215,623.7760209364551
216,635.701243692637
217,647.8491586098287
218,660.223913121859
219,672.8297314845473
220,685.6709161827935
221,698.7518493628394
222,712.0769942901306
223,725.6508968332108
224,739.478186974089
225,753.5635803455277
226,767.9118797957041
227,782.5279769807038
228,797.4168539853151
229,812.5835849725958
230,828.0333378626922
231,843.7713760413989
232,859.8030600989509
233,876.1338495995501
234,892.7693048821321
235,909.7150888928901
236,926.9769690500744
237,944.5608191415993
238,962.4726212559895
239,980.7184677472122
240,999.3045632339426
241,1018.2372266338199
242,1037.5228932332593
243,1057.1681167933907
244,1077.1795716927027
245,1097.5640551069782
246,1118.3284892271145
247,1139.479923515428
248,1161.0255370010525
249,1182.9726406150435
250,1205.3286795658132
251,1228.1012357555235
252,1251.2980302380745
253,1274.9269257193312
254,1298.9959291002392
255,1323.513194063488
256,1348.4870237043851
257,1373.9258732066119
258,1399.838352563543
259,1426.2332293458096
260,1453.1194315158032
261,1480.5060502898134
262,1508.4023430485092
263,1536.8177362964714
264,1565.7618286714956
265,1595.2443940043895
266,1625.2753844299925
267,1655.864933550154
268,1687.0233596494118
269,1718.7611689641146
270,1751.089059005745
271,1784.0179219391937
272,1817.5588480167507
273,1851.7231290685788
274,1886.522262050437
275,1921.967952649432
276,1958.0721189485744
277,1994.8468951509185
278,2032.304635364075
279,2070.45791744588
280,2109.3195469120133
281,2148.902560906353
282,2189.220232234866
283,2230.2860734638243
284,2272.113841083142
285,2314.717539735631
286,2358.1114265129713
287,2402.3100153191845
288,2447.3280813024085
289,2493.1806653557624
290,2539.883078688091
291,2587.450907465371
292,2635.900017523564
293,2685.2465591536893
294,2735.506971959888
295,2786.697989791245
296,2838.8366457481284
297,2891.940277263787
298,2946.02653126196
299,3001.113369391222
300,3057.219073336787
301,3114.362250210477
302,3172.56183801956
303,3231.837111215131
304,3292.2076863207058
305,3353.693527641687
306,3416.314953056323
307,3480.0926398887814
308,3545.0476308649386
309,3611.2013401514428
310,3678.5755594786165
311,3747.1924643477128
312,3817.0746203230324
313,3888.244989409366
314,3960.7269365152097
315,4034.544236002159
316,4109.721078320861
317,4186.282076733867
318,4264.252274125687
319,4343.657149900312
320,4424.52262696643
321,4506.875078810512
322,4590.741336657903
323,4676.148696722005
324,4763.124927541579
325,4851.698277406155
326,4941.897481869466
327,5033.751771350778
328,5127.290878823909
329,5222.545047593687
330,5319.5450391595
331,5418.322141165557
332,5518.908175437361
333,5621.335506103857
334,5725.637047804614
335,5831.846273981308
336,5939.997225252719
337,6050.124517872318
338,6162.263352267456
339,6276.449521659045
340,6392.719420760541
341,6511.110054554895
342,6631.659047148058
