,Все
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.8058116504303304
12,0.8830989623572398
13,1.4753008692931924
14,1.2569442600379503
15,1.0497585655567223
16,1.1483435025935127
17,1.226767061093063
18,1.1484945917560239
19,1.1342071061918881
20,1.1710150048468588
21,1.1694428555411687
22,1.1532950499946057
23,1.1572808924223825
24,1.163472024080285
25,1.1603747517642486
26,1.1583261965656264
27,1.1601567773375743
28,1.1606504038252063
29,1.159722714326996
30,1.159710996415858
31,1.1601254436835284
32,1.1600386289312723
33,1.1598735381059018
34,1.1599479195711244
35,1.1600041977970876
36,1.1599583357492458
37,1.159943137553179
38,1.1599663858757905
39,1.159967486671507
40,1.159956455545211
41,1.1599579332051368
42,1.1599620047805659
43,1.1599599440020165
44,1.1599580836118362
45,1.159958888471587
46,1.159959003599048
47,1.159958080099398
48,1.159957682723148
49,1.1599576187631482
50,1.159957237018288
51,1.1599567672562425
52,1.1599564470246972
53,1.1599561215228655
54,1.1599557195633385
55,1.1599553253707675
56,1.159954951605345
57,1.1599545578924817
58,1.1599541473534012
59,1.1599537369692243
60,1.1599533213553834
61,1.1599528939404553
62,1.1599524583288416
63,1.1599520163886436
64,1.1599515658566943
65,1.1599511061517496
66,1.1599506381463807
67,1.1599501616399275
68,1.1599496760203047
69,1.1599491812375442
70,1.159948677294232
71,1.1599481639268108
72,1.159947640902143
73,1.1599471080929158
74,1.1599465653293084
75,1.1599460123983703
76,1.1599454491098236
77,1.1599448752816324
78,1.1599442907139146
79,1.1599436952010223
80,1.1599430885403113
81,1.1599424705247263
82,1.1599418409404372
83,1.1599411995705342
84,1.159940546195131
85,1.1599398805895809
86,1.1599392025246982
87,1.1599385117673733
88,1.1599378080802043
89,1.1599370912211728
90,1.1599363609437423
91,1.1599356169968416
92,1.159934859124683
93,1.1599340870666632
94,1.1599333005573251
95,1.1599324993262523
96,1.1599316830979631
97,1.1599308515918219
98,1.159930004521951
99,1.1599291415971236
100,1.1599282625206646
101,1.1599273669903558
102,1.159926454698324
103,1.1599255253309402
104,1.1599245785687107
105,1.1599236140861686
106,1.1599226315517603
107,1.1599216306277331
108,1.1599206109700215
109,1.159919572228124
110,1.1599185140449886
111,1.1599174360568858
112,1.1599163378932893
113,1.1599152191767428
114,1.159914079522736
115,1.1599129185395711
116,1.1599117358282265
117,1.1599105309822224
118,1.159909303587483
119,1.1599080532221924
120,1.1599067794566496
121,1.1599054818531231
122,1.159904159965701
123,1.159902813340138
124,1.1599014415136988
125,1.1599000440150031
126,1.1598986203638602
127,1.1598971700711063
128,1.1598956926384387
129,1.159894187558245
130,1.159892654313427
131,1.1598910923772248
132,1.1598895012130401
133,1.1598878802742496
134,1.1598862290040157
135,1.1598845468351027
136,1.1598828331896778
137,1.159881087479116
138,1.1598793091037969
139,1.159877497452903
140,1.159875651904208
141,1.1598737718238663
142,1.159871856566196
143,1.159869905473457
144,1.1598679178756315
145,1.1598658930901864
146,1.1598638304218492
147,1.1598617291623672
148,1.1598595885902652
149,1.1598574079705986
150,1.1598551865547073
151,1.1598529235799557
152,1.1598506182694743
153,1.1598482698318955
154,1.1598458774610834
155,1.1598434403358595
156,1.1598409576197215
157,1.1598384284605614
158,1.1598358519903713
159,1.1598332273249519
160,1.1598305535636078
161,1.159827829788844
162,1.1598250550660536
163,1.1598222284431963
164,1.1598193489504778
165,1.159816415600021
166,1.1598134273855267
167,1.1598103832819335
168,1.1598072822450698
169,1.1598041232112992
170,1.1598009050971567
171,1.1597976267989842
172,1.1597942871925548
173,1.1597908851326886
174,1.1597874194528688
175,1.1597838889648422
176,1.159780292458218
177,1.1597766287000555
178,1.1597728964344511
179,1.1597690943821068
180,1.1597652212399001
181,1.1597612756804414
182,1.1597572563516272
183,1.1597531618761787
184,1.1597489908511782
185,1.159744741847596
186,1.1597404134098022
187,1.1597360040550804
188,1.1597315122731235
189,1.1597269365255247
190,1.159722275245257
191,1.1597175268361446
192,1.1597126896723273
193,1.159707762097707
194,1.1597027424253923
195,1.1596976289371308
196,1.1596924198827292
197,1.159687113479462
198,1.159681707911474
199,1.159676201329172
200,1.159670591848594
201,1.1596648775507838
202,1.1596590564811446
203,1.1596531266487797
204,1.1596470860258261
205,1.1596409325467754
206,1.1596346641077777
207,1.1596282785659386
208,1.1596217737386005
209,1.1596151474026113
210,1.1596083972935822
211,1.159601521105127
212,1.1595945164880923
213,1.1595873810497734
214,1.159580112353115
215,1.1595727079158944
216,1.1595651652098977
217,1.159557481660075
218,1.1595496546436808
219,1.1595416814894033
220,1.1595335594764737
221,1.159525285833762
222,1.1595168577388522
223,1.1595082723171115
224,1.1594995266407329
225,1.159490617727759
226,1.1594815425411036
227,1.1594722979875347
228,1.1594628809166594
229,1.159453288119876
230,1.159443516329318
231,1.1594335622167709
232,1.1594234223925748
233,1.1594130934045086
234,1.15940257173665
235,1.1593918538082206
236,1.1593809359724052
237,1.1593698145151559
238,1.1593584856539696
239,1.159346945536651
240,1.1593351902400446
241,1.1593232157687576
242,1.1593110180538444
243,1.1592985929514825
244,1.159285936241617
245,1.159273043626585
246,1.1592599107297157
247,1.1592465330939028
248,1.15923290618016
249,1.1592190253661425
250,1.1592048859446493
251,1.159190483122097
252,1.1591758120169697
253,1.1591608676582377
254,1.1591456449837534
255,1.1591301388386228
256,1.1591143439735367
257,1.1590982550430882
258,1.159081866604053
259,1.1590651731136445
260,1.1590481689277328
261,1.1590308482990452
262,1.1590132053753257
263,1.1589952341974663
264,1.158976928697611
265,1.1589582826972256
266,1.1589392899051332
267,1.1589199439155176
268,1.1589002382058993
269,1.1588801661350683
270,1.1588597209409905
271,1.1588388957386782
272,1.1588176835180195
273,1.1587960771415842
274,1.1587740693423785
275,1.1587516527215773
276,1.1587288197462122
277,1.1587055627468204
278,1.158681873915064
279,1.1586577453012994
280,1.158633168812121
281,1.1586081362078517
282,1.1585826391000051
283,1.1585566689487021
284,1.1585302170600438
285,1.1585032745834514
286,1.1584758325089555
287,1.1584478816644486
288,1.1584194127128928
289,1.158390416149485
290,1.158360882298777
291,1.158330801311752
292,1.1583001631628578
293,1.1582689576469931
294,1.1582371743764472
295,1.158204802777798
296,1.1581718320887568
297,1.1581382513549712
298,1.1581040494267791
299,1.1580692149559144
300,1.1580337363921644
301,1.1579976019799771
302,1.1579607997550228
303,1.1579233175407013
304,1.157885142944604
305,1.157846263354921
306,1.157806665936801
307,1.1577663376286582
308,1.1577252651384269
309,1.1576834349397667
310,1.1576408332682142
311,1.1575974461172807
312,1.157553259234501
313,1.1575082581174252
314,1.1574624280095578
315,1.1574157538962475
316,1.1573682205005176
317,1.157319812278846
318,1.1572705134168895
319,1.1572203078251568
320,1.157169179134621
321,1.157117110692286
322,1.157064085556693
